id,database,title,authors,year,journal_type,journal,citations,url,pdf
77,Google Scholar,Your process is showing: controversy management and perceived quality in Wikipedia,"WB Towne, A Kittur, P Kinnaird, J Herbsleb",2013,Conference,"Proceedings of the 2013 …, 2013",17,https://dl.acm.org/doi/abs/10.1145/2441776.2441896,https://par.nsf.gov/servlets/purl/10038301
78,Google Scholar,Article quality classification on Wikipedia: introducing document embeddings and content features,"M Schmidt, E Zangerle",2019,Conference,"… of the 15th International Symposium on Open …, 2019",8,https://dl.acm.org/doi/abs/10.1145/3306446.3340831,https://dbis.uibk.ac.at/sites/default/files/2019-12/schmidt_zangerle_opensym19.pdf
79,Google Scholar,Assessing quality score of Wikipedia article using mutual evaluation of editors and texts,"Y Suzuki, M Yoshikawa",2013,Conference,"Proceedings of the 22nd ACM international …, 2013",20,https://dl.acm.org/doi/abs/10.1145/2505515.2505610,https://www.researchgate.net/profile/Yu-Suzuki-2/publication/262282644_Assessing_quality_score_of_Wikipedia_article_using_mutual_evaluation_of_editors_and_texts/links/58b4af53a6fdcc6f03fe65e8/Assessing-quality-score-of-Wikipedia-article-using-mutual-evaluation-of-editors-and-texts.pdf
80,Google Scholar,Measuring the quality of edits to wikipedia,S Biancani,2014,Conference,"Proceedings of The International Symposium on Open …, 2014",10,https://dl.acm.org/doi/abs/10.1145/2641580.2641621,https://opensym.org/os2014/proceedings-files/p609.pdf
81,Google Scholar,Mining and Predicting Temporal Patterns in the Quality Evolution of Wikipedia Articles.,"H Zhang, Y Ren, RE Kraut",2020,unknown,"HICSS, 2020",10,https://www.researchgate.net/profile/Haifeng-Zhang-14/publication/336613615_Mining_and_Predicting_Temporal_Patterns_in_the_Quality_Evolution_of_Wikipedia_Articles/links/5da871de4585159bc3d59e47/Mining-and-Predicting-Temporal-Patterns-in-the-Quality-Evolution-of-Wikipedia-Articles.pdf,https://www.researchgate.net/profile/Haifeng-Zhang-14/publication/336613615_Mining_and_Predicting_Temporal_Patterns_in_the_Quality_Evolution_of_Wikipedia_Articles/links/5da871de4585159bc3d59e47/Mining-and-Predicting-Temporal-Patterns-in-the-Quality-Evolution-of-Wikipedia-Articles.pdf
82,Google Scholar,Quality assessment of Wikipedia articles using h-index,Y Suzuki,2015,Journal,"Journal of information processing, 2015",25,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_article/-char/ja/,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_pdf
83,Google Scholar,WikiLyzer: interactive information quality assessment in Wikipedia,"C di Sciascio, D Strohmaier, M Errecalde…",2017,Conference,"Proceedings of the 22nd …, 2017",14,https://dl.acm.org/doi/abs/10.1145/3025171.3025201,https://www.researchgate.net/profile/Eduardo-Veas/publication/313183461_WikiLyzer_Interactive_Information_Quality_Assessment_in_Wikipedia/links/5a86055faca272017e56565f/WikiLyzer-Interactive-Information-Quality-Assessment-in-Wikipedia.pdf
84,Google Scholar,"'WP2Cochrane', a tool linking Wikipedia to the Cochrane Library: results of a bibliometric analysis evaluating article quality and importance","A Joorabchi, C Doherty…",2020,unknown,"Health Informatics …, 2020",8,https://journals.sagepub.com/doi/abs/10.1177/1460458219892711,https://journals.sagepub.com/doi/pdf/10.1177/1460458219892711
85,Google Scholar,An edit-centric approach for wikipedia article quality assessment,"E Marrese-Taylor, P Loyola, Y Matsuo",1909,unknown,"arXiv preprint arXiv:1909.08880, 2019",8,https://arxiv.org/abs/1909.08880,https://arxiv.org/pdf/1909.08880
86,Google Scholar,A large-scale study of Wikipedia users' quality of experience,"F Salutari, D Da Hora, G Dubuc, D Rossi",2019,unknown,"The World Wide Web …, 2019",10,https://dl.acm.org/doi/abs/10.1145/3308558.3313467,https://www.researchgate.net/profile/Flavia-Salutari/publication/333067629_A_Large-scale_Study_of_Wikipedia_Users'_Quality_of_Experience/links/5ef0bf44458515814a74bba4/A-Large-scale-Study-of-Wikipedia-Users-Quality-of-Experience.pdf
